file            | min_pitch | max_pitch | mean_pitch | std_pitch | oscillation_depth | oscillation_rate | pitch_drift  | spectral_centroid | spectral_bandwidth | mfcc_1     | mfcc_2     | mfcc_3     | mfcc_4     | mfcc_5     | mfcc_6     | mfcc_7     | mfcc_8     | mfcc_9     | mfcc_10    | mfcc_11    | mfcc_12    | mfcc_13
asavari01.wav   | 65.4064   | 535.4815  | 139.8022   | 88.2169   | 470.0752          | 0.3955           | 0.00070938   | 1221.1077          | 1155.4695          | -92.3465   | 161.6133   | -73.4825   | 4.8910     | -47.1392   | -6.7292    | -31.9457   | -27.5079   | -31.8787   | -24.2190   | -6.7752    | -21.2395   | -3.2085
yaman27.wav     | 159.1996  | 2021.7091 | 273.1777   | 181.4204  | 1862.5095         | 0.4578           | 0.00303524   | 2153.3823          | 2209.1149          | -293.3776  | 57.6789    | -6.2522    | 49.3383    | -7.2859    | -0.1400    | 1.8383     | -0.3378    | -1.9004    | 8.4131     | -1.3805    | -5.0958    | -10.0560
sarang20.wav    | 65.4064   | 2080.9497 | 370.9191   | 304.4268  | 2015.5433         | 0.4536           | 0.58518441   | 2148.0707          | 2250.1984          | -316.1286  | 56.1585    | -5.8591    | 25.7182    | -9.2639    | 10.3116    | 5.4084     | -0.3197    | 2.4423     | 10.3732    | 0.8858     | -5.0627    | -11.5398
